decision_id,portfolio_rank,failure_id,customer_id,subscription_id,amount,failure_reason,behavior_profile,candidate_action,estimated_recovery_probability,expected_gross_recovery,intervention_cost,expected_net_recovery,decision_status,decision_reason,execution_status
DEC_000001,1,FAIL_000301,CUST_0119,SUB_0119,15000.0,LIMIT_EXCEEDED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.9205904462703752,13808.856694055628,3.0,13805.856694055628,RECOMMEND,The payment encountered a transaction-limit constraint. The customer is a high-value loyal customer. The payment has high revenue exposure. Updating the payment method provides an alternative payment path. The estimated recovery probability is 92.06%.,PENDING
DEC_000002,2,FAIL_000450,CUST_0171,SUB_0171,14917.0,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.9224601742413324,13760.338419157952,2.0,13758.338419157952,RECOMMEND,The failure is consistent with a transient payment/network issue. The customer is a high-value loyal customer. The payment has high revenue exposure. A direct retry is the selected recovery intervention. The estimated recovery probability is 92.25%.,PENDING
DEC_000003,3,FAIL_000443,CUST_0169,SUB_0169,14872.16,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.9042269937480304,13447.808527339706,2.0,13445.808527339706,RECOMMEND,The failure is consistent with a transient payment/network issue. The customer is a high-value loyal customer. The payment has high revenue exposure. A direct retry is the selected recovery intervention. The estimated recovery probability is 90.42%.,PENDING
DEC_000004,4,FAIL_001296,CUST_0494,SUB_0494,14846.24,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.8777637465548183,13031.491244652005,2.0,13029.491244652005,RECOMMEND,The failure is consistent with a transient payment/network issue. The customer is a high-value loyal customer. The payment has high revenue exposure. A direct retry is the selected recovery intervention. The estimated recovery probability is 87.78%.,PENDING
DEC_000005,5,FAIL_000298,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.8333248119597095,12499.872179395645,3.0,12496.872179395645,RECOMMEND,The failure indicates insufficient available funds at the time of payment. The customer is a high-value loyal customer. The payment has high revenue exposure. A payment link provides an alternative path for the customer to complete payment. The estimated recovery probability is 83.33%.,PENDING
DEC_000006,6,FAIL_000299,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.8333248119597095,12499.872179395645,3.0,12496.872179395645,RECOMMEND,The failure indicates insufficient available funds at the time of payment. The customer is a high-value loyal customer. The payment has high revenue exposure. A payment link provides an alternative path for the customer to complete payment. The estimated recovery probability is 83.33%.,PENDING
DEC_000007,7,FAIL_000080,CUST_0026,SUB_0026,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.82757160841332,12413.5741261998,3.0,12410.5741261998,RECOMMEND,The failure indicates insufficient available funds at the time of payment. The customer is a high-value loyal customer. The payment has high revenue exposure. A payment link provides an alternative path for the customer to complete payment. The estimated recovery probability is 82.76%.,PENDING
DEC_000008,8,FAIL_000102,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.939334390026096,12333.38539429144,3.0,12330.38539429144,RECOMMEND,The payment method appears unsuitable for another direct retry. The customer is a high-value loyal customer. The payment has high revenue exposure. Updating the payment method provides an alternative payment path. The estimated recovery probability is 93.93%.,PENDING
DEC_000009,9,FAIL_000103,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.939334390026096,12333.38539429144,3.0,12330.38539429144,RECOMMEND,The payment method appears unsuitable for another direct retry. The customer is a high-value loyal customer. The payment has high revenue exposure. Updating the payment method provides an alternative payment path. The estimated recovery probability is 93.93%.,PENDING
DEC_000010,10,FAIL_000762,CUST_0312,SUB_0312,13871.79,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.8797088683614944,12203.136683048297,2.0,12201.136683048297,RECOMMEND,The failure is consistent with a transient payment/network issue. The customer is a high-value loyal customer. The payment has high revenue exposure. A delayed retry is preferred to avoid an immediate repeat attempt. The estimated recovery probability is 87.97%.,PENDING
